outcome_datasets	outcome_trait	num_assoc_loci	outcome_trait_efo	outcome_data_source
GCST90060318	Phosphatidylcholine-O_36:4_[M+H]1+/Phosphatidylcholine-P_36:3_[M+H]1+ levels	4	EFO_0010226	GWAS Catalog
GCST90060348	Sphingomyelin_40:3_[M+H]1+ levels	4	EFO_0010118	GWAS Catalog
GCST90060379	Phosphatidylcholine-O_38:4_[M+H]1+/Phosphatidylcholine-P_38:3_[M+H]1+ levels	4	EFO_0010226	GWAS Catalog
GCST90060383	Sphingomyelin_41:2_[M+H]1+ levels	4	EFO_0010118	GWAS Catalog
GCST90060399	Sphingomyelin_42:3_[M+H]1+ levels	4	EFO_0010118	GWAS Catalog
GCST90060403	Sphingomyelin_42:2_[M+H]1+ levels	4	EFO_0010118	GWAS Catalog
GCST90060520	Triacylglycerol_53:5_[M+NH4]1+ levels	4	EFO_0004530	GWAS Catalog
FINNGEN_R5_Z21_PERSONS_ENCOUNTERI_HEALTH_SERVI_EXAM_INVES	Persons encountering health services for examination and investigation	5	EFO_0009786	FinnGEN
FINNGEN_R5_H8_MIDDLEMASTOID	Diseases of middle ear and mastoid	3	HP_0000264, MONDO_0003276	FinnGEN
FINNGEN_R5_D3_COAGDEF	Chronic Coagulation defects	17	EFO_0009314	FinnGEN
FINNGEN_R5_F5_PSYCH	Psychiatric diseases	3	MONDO_0002025	FinnGEN
FINNGEN_R5_I9_DOAAC	Diseases of arteries, arterioles and capillaries	4	EFO_0004264	FinnGEN
FINNGEN_R5_ALCOHOLMENTAL	Mental and behavioural disorders due to alcohol, excluding acute intoxication	3	EFO_0000677, MONDO_0021698	FinnGEN
FINNGEN_R5_F5_SUBSTANCE	Mental and behavioural disorders due to psychoctive substance use	1	MONDO_0001423	FinnGEN
FINNGEN_R5_G6_EPIPAROX	Episodal and paroxysmal disorders	2	EFO_0000618	FinnGEN
FINNGEN_R5_G6_MYONEU	Diseases of the myoneural junction and muscle	19	EFO_1001902	FinnGEN
