outcome_datasets	outcome_trait	num_assoc_loci	outcome_trait_efo	outcome_data_source
FINNGEN_R5_N14_LUMPNASBREAST	Unspecified lump in breast	1	EFO_1000848	FinnGEN
NEALE2_20107_4	Bowel cancer | illnesses of father	1	EFO_0007330	UK Biobank
NEALE2_20110_3	Lung cancer | illnesses of mother	1	EFO_0001071	UK Biobank
NEALE2_20112_13	Prostate cancer | illnesses of adopted father	1	EFO_0001663	UK Biobank
NEALE2_20113_5	Breast cancer | illnesses of adopted mother	1	EFO_0000305	UK Biobank
NEALE2_40001_C20	Icd10: c20 malignant neoplasm of rectum | underlying (primary) cause of death	1	EFO_1000657	UK Biobank
NEALE2_40001_C900	Icd10: c90.0 multiple myeloma | underlying (primary) cause of death	1	EFO_0001378	UK Biobank
NEALE2_40001_J841	Icd10: j84.1 other interstitial pulmonary diseases with fibrosis | underlying (primary) cause of death	1	EFO_0009448	UK Biobank
NEALE2_40009	Reported occurrences of cancer	1	EFO_0000311	UK Biobank
SAIGE_149	Cancer of larynx, pharynx, nasal cavities	1	MONDO_0001128	UK Biobank
SAIGE_189_11	Malignant neoplasm of kidney, except pelvis	1	MONDO_0002367	UK Biobank
SAIGE_193	Thyroid cancer	1	MONDO_0002108	UK Biobank
SAIGE_198	Secondary malignant neoplasm	1	EFO_0009812	UK Biobank
SAIGE_202_2	Non-hodgkins lymphoma	1	EFO_0005952	UK Biobank
SAIGE_204_1	Lymphoid leukemia	1	EFO_0004289	UK Biobank
SAIGE_204_4	Multiple myeloma	1	EFO_0001378	UK Biobank
SAIGE_214	Lipoma	1	EFO_0000759	UK Biobank
SAIGE_227_1	Benign neoplasm of adrenal gland	1	MONDO_0021511	UK Biobank
SAIGE_227_2	Benign neoplasm of parathyroid gland	1	MONDO_0021463	UK Biobank
SAIGE_502	Postinflammatory pulmonary fibrosis	1	MONDO_0001438	UK Biobank
SAIGE_571_51	Cirrhosis of liver without mention of alcohol	1	EFO_0001422	UK Biobank
SAIGE_571_6	Primary biliary cirrhosis	1	EFO_1001486	UK Biobank
FINNGEN_R5_C3_CERVIX_UTERI	Malignant neoplasm of cervix uteri	2	MONDO_0002974	FinnGEN
FINNGEN_R5_C3_LUNG_NONSMALL_EXALLC	Non-small cell lung cancer (controls excluding all cancers)	2	EFO_0005288	FinnGEN
FINNGEN_R5_C3_NSCLC_SQUAM_EXALLC	Non-small cell lung cancer, squamous (controls excluding all cancers)	1	MONDO_0056806	FinnGEN
FINNGEN_R5_C3_RECTUM_EXALLC	Malignant neoplasm of rectum (controls excluding all cancers)	1	EFO_1000657	FinnGEN
FINNGEN_R5_C3_SMALL_INTESTINE_EXALLC	Malignant neoplasm of small intestine (controls excluding all cancers)	1	MONDO_0000956	FinnGEN
FINNGEN_R5_C3_STOMACH_EXALLC	Malignant neoplasm of stomach (controls excluding all cancers)	1	MONDO_0001056	FinnGEN
FINNGEN_R5_C3_TESTIS	Malignant neoplasm of testis	1	EFO_0004281	FinnGEN
FINNGEN_R5_C3_TESTIS_EXALLC	Malignant neoplasm of testis (controls excluding all cancers)	1	EFO_0004281	FinnGEN
FINNGEN_R5_CD2_BENIGN_APPENDIX_EXALLC	Benign neoplasm: Appendix (controls excluding all cancers)	1	EFO_0003880	FinnGEN
FINNGEN_R5_CD2_BENIGN_BRAIN_CNS_EXALLC	Benign neoplasm of brain and other parts of central nervous system (controls excluding all cancers)	1	EFO_1000107, MONDO_0000628	FinnGEN
FINNGEN_R5_CD2_BENIGN_COLON_NOS_EXALLC	Benign neoplasm: Colon, unspecified (controls excluding all cancers)	1	MONDO_0002278	FinnGEN
FINNGEN_R5_CD2_BENIGN_CRANIAL_NERVE_EXALLC	Benign neoplasm: Cranial nerves (controls excluding all cancers)	1	MONDO_0000648	FinnGEN
FINNGEN_R5_CD2_BENIGN_EAR_NASAL_SINUS_EXALLC	Benign neoplasm: Middle ear, nasal cavity and accessory sinuses (controls excluding all cancers)	1	MONDO_0056819	FinnGEN
FINNGEN_R5_CD2_BENIGN_MENINGES_EXALLC	Benign neoplasm of meninges (controls excluding all cancers)	1	EFO_0003851	FinnGEN
FINNGEN_R5_CD2_BENIGN_PITUITARY_CRANIPHAR_EXALLC	Benign neoplasm: Pituitary gland, craniopharyngeal duct (controls excluding all cancers)	1	MONDO_0021439	FinnGEN
FINNGEN_R5_CD2_BENIGN_RECTUM_ANAL_EXALLC	Benign neoplasm: Rectum, anus and anal canal (controls excluding all cancers)	3	MONDO_0021462, MONDO_0021469	FinnGEN
FINNGEN_R5_CD2_BENIGN_RECTUM_EXALLC	Benign neoplasm: Rectum (controls excluding all cancers)	1	MONDO_0021462	FinnGEN
FINNGEN_R5_CD2_BENIGN_SALIVARY_NOS_EXALLC	Benign neoplasm: other/unspecified salivary gland (controls excluding all cancers)	1	MONDO_0021460	FinnGEN
FINNGEN_R5_CD2_BENIGN_UTERUS_NOS	Other benign neoplasm of uterus: Other parts/unspecified	1	MONDO_0000632	FinnGEN
FINNGEN_R5_CD2_BENIGN_UTERUS_OTH	Other benign neoplasms of uterus	1	MONDO_0000632	FinnGEN
FINNGEN_R5_CD2_BENIGN_UTERUS_OTH_EXALLC	Other benign neoplasms of uterus (controls excluding all cancers)	1	MONDO_0000632	FinnGEN
FINNGEN_R5_CD2_BENIGN_VULVA_EXALLC	Benign neoplasm: Vagina (controls excluding all cancers)	1	MONDO_0000647	FinnGEN
FINNGEN_R5_CD2_INSITU_BREAST_EXALLC	Carcinoma in situ of breast (controls excluding all cancers)	2	MONDO_0004658	FinnGEN
FINNGEN_R5_CD2_INSITU_BREAST_INTRADUCTAL	Carcinoma in situ of breast, intraductal	1	EFO_0000432	FinnGEN
FINNGEN_R5_CD2_INSITU_BREAST_INTRADUCTAL_EXALLC	Carcinoma in situ of breast, intraductal (controls excluding all cancers)	1	EFO_0000432	FinnGEN
FINNGEN_R5_CD2_INSITU_CERVIX_UTERI_ENDOCERVIX	Carcinoma in situ of cervix uteri, endocervix	1	MONDO_0004259	FinnGEN
FINNGEN_R5_CD2_INSITU_CERVIX_UTERI_ENDOCERVIX_EXALLC	Carcinoma in situ of cervix uteri, endocervix (controls excluding all cancers)	1	MONDO_0004259	FinnGEN
FINNGEN_R5_CD2_LYMPHOID_LEUKAEMIA_EXALLC	Lymphoid leukaemia (controls excluding all cancers)	2	EFO_0004289	FinnGEN
FINNGEN_R5_CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC_EXALLC	Primary_lymphoid and hematopoietic malignant neoplasms (controls excluding all cancers)	4	MONDO_0044881	FinnGEN
FINNGEN_R5_CHIRHEP_NAS	Chirrosis of liver, NAS	1	EFO_0001422	FinnGEN
FINNGEN_R5_CHRONMYELOPRO	Chronic myeloproliferative disease	1	EFO_0002428	FinnGEN
FINNGEN_R5_CML	Chronic myeloid leukaemia [CML], BCR/ABL-positive	1	EFO_0000339	FinnGEN
FINNGEN_R5_PSORI_STRICT	Psoriasis (vulgaris), strict definition	1	EFO_1001494	FinnGEN
FINNGEN_R5_R18_OEDEMA_NOT_ELSEW_CLASSIFIED	Oedema, not elsewhere classified	1	EFO_0009373	FinnGEN
SAIGE_689	Disorder of skin and subcutaneous tissue nos	1	EFO_0000701	UK Biobank
SAIGE_695	Erythematous conditions	1	EFO_0000701	UK Biobank
SAIGE_702_2	Seborrheic keratosis	1	EFO_0005584	UK Biobank
SAIGE_782_3	Edema	1	EFO_0009373	UK Biobank
SAIGE_947	Urticaria	1	EFO_0005531	UK Biobank
FINNGEN_R5_L12_BULLOTH	Other bullous disorders	3	EFO_0008598	FinnGEN
FINNGEN_R5_L12_DERM_NUMMULAR	Nummular dermatitis	2	MONDO_0002406	FinnGEN
FINNGEN_R5_L12_FOLICULAROTH	Other follicular disorders	1	MONDO_0002917	FinnGEN
FINNGEN_R5_L12_PARAPSORI	Parapsoriasis	1	EFO_1000747	FinnGEN
FINNGEN_R5_O15_COMPLIC_LAB_DELIV	Complications of labour and delivery	1	EFO_0009682, HP_0001787	FinnGEN
FINNGEN_R5_O15_EXIST_HYPERT_COMPLIC	Pre-existing hypertension complicating pregnancy, childbirth and the puerperium	1	EFO_0000537, EFO_0009682, EFO_0009683	FinnGEN
FINNGEN_R5_O15_MATERN_CARE	Maternal care related to the fetus and amniotic cavity and possible delivery problems	1	EFO_0009682	FinnGEN
FINNGEN_R5_O15_PLAC_PRAEVIA	Placenta praevia	1	EFO_0007442	FinnGEN
FINNGEN_R5_O15_PREG_MATERN_CARE	Maternal care for other conditions predominantly related to pregnancy	2	EFO_0009682	FinnGEN
FINNGEN_R5_O15_PUERP_COMPL_NAS	Complications of the puerperium, not elsewhere classified	1	EFO_0009683	FinnGEN
NEALE2_20111_6	Chronic bronchitis/emphysema | illnesses of siblings	1	EFO_0000464	UK Biobank
NEALE2_22130	Doctor diagnosed copd (chronic obstructive pulmonary disease)	1	EFO_0000341	UK Biobank
NEALE2_6152_6	Emphysema/chronic bronchitis | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor	1	EFO_0000464	UK Biobank
SAIGE_476	Allergic rhinitis	1	EFO_0005854	UK Biobank
SAIGE_496_21	Obstructive chronic bronchitis	1	EFO_0000341, EFO_0006505	UK Biobank
SAIGE_497	Bronchitis	1	EFO_0009661	UK Biobank
SAIGE_509	Respiratory failure, insufficiency, arrest	1	EFO_0009686	UK Biobank
SAIGE_509_1	Respiratory failure	1	EFO_0009686	UK Biobank
FINNGEN_R5_E4_OBESITYXTRMALV	Extreme obesity with alveolar hypoventilation	1	EFO_1001382	FinnGEN
FINNGEN_R5_J10_SINUSITIS	Acute sinusitis	2	EFO_0007486	FinnGEN
FINNGEN_R5_J10_VOCALLARYNX	Diseases of vocal cords and larynx+other diseases of upper respiratory tract, no elsewhere classified	1	EFO_0009673, MONDO_0004867	FinnGEN
FINNGEN_R5_N14_DYSPLACERVUT	Dysplasia of cervi uteri	2	EFO_1000910	FinnGEN
FINNGEN_R5_N14_ENDOMETRIOSIS_NOS	Unspecified/other endometriosis	2	EFO_0001065	FinnGEN
FINNGEN_R5_N14_FEMALEINFERT	Female infertility	1	EFO_0008560	FinnGEN
FINNGEN_R5_N14_MALEINFERT	Male infertility	1	EFO_0004248	FinnGEN
FINNGEN_R5_N14_OVARTORS	Torsion of ovary, ovarian pedicle and fallobian tube	1	EFO_0005771, EFO_0009548	FinnGEN
FINNGEN_R5_N14_POSTMENATRVAG	Postmenopausal atrophic vaginitsi	1	MONDO_0001410	FinnGEN
FINNGEN_R5_N14_SALPHOOPH	Salphingitis and oophoritis	1	EFO_1001071, MONDO_0003619	FinnGEN
FINNGEN_R5_N14_SPERMATOCELE	Spermatocele	1	EFO_1001189	FinnGEN
FINNGEN_R5_O15_ABORT_FAILED	Failed attempted abortion	1	EFO_1001799	FinnGEN
FINNGEN_R5_O15_ABORT_MEDICAL	Medical abortion	2	EFO_1001491	FinnGEN
FINNGEN_R5_Z21_SUPERV_HIGH_R_PREGNAC	Supervision of high-risk pregnancy	1	EFO_0009573	FinnGEN
GCST006956	Erectile dysfunction	1	EFO_0004234	GWAS Catalog
FINNGEN_R5_E4_LIPOPROTNAS	Disorder of lipoprotein metabolism, unspecified	3	Orphanet_309005	FinnGEN
FINNGEN_R5_ST19_BURNS_CORROSIO_CONFIN_EYE_INTERNAL_ORGANS	Burns and corrosions confined to eye and internal organs	1	EFO_1001788	FinnGEN
FINNGEN_R5_ST19_BURN_CORROSION_CONFIN_EYE_ADNEXA	Burn and corrosion confined to eye and adnexa	1	EFO_1001788	FinnGEN
FINNGEN_R5_ST19_BURN_CORROSION_SHOUL_UPPER_LIMB_WRIST_HAND	Burn and corrosion of shoulder and upper limb, except wrist and hand	1	EFO_0009516	FinnGEN
FINNGEN_R5_ST19_COMPLICATIO_GENITO_PROSTHET_DEVICES_IMPLANTS_GRAFTS	Complications of genitourinary prosthetic devices, implants and grafts	1	EFO_0009519	FinnGEN
FINNGEN_R5_ST19_COMPLICATIO_OTHER_INTERNAL_PROSTHET_DEVICES_IMPLANTS_GRAFTS	Complications of other internal prosthetic devices, implants and grafts	1	EFO_0009519	FinnGEN
FINNGEN_R5_ST19_DISLO_SPRAIN_STRAIN_JOINTS_LIGAM_KNEE	Dislocation, sprain and strain of joints and ligaments of knee	2	EFO_0009521, EFO_0009582, EFO_0010686	FinnGEN
FINNGEN_R5_ST19_DISLO_SPRAIN_STRAIN_JOINTS_LIGAM_LUMBAR_SPINE_PELVIS	Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis	1	EFO_0009521, EFO_0009582, EFO_0010686	FinnGEN
FINNGEN_R5_ST19_EFFEC_OTHER_EXTER_CAUSES	Effects of other external causes	1	EFO_0000546	FinnGEN
FINNGEN_R5_ST19_FOREI_BODY_RESPI_TRACT	Foreign body in respiratory tract	1	EFO_0009525	FinnGEN
FINNGEN_R5_ST19_INJURY_MUSCLE_TENDON_SHOUL_UPPER_ARM_LEVEL	Injury of muscle and tendon at shoulder and upper arm level	1	EFO_0000546	FinnGEN
FINNGEN_R5_ST19_INJURY_NERVES_FOREA_LEVEL	Injury of nerves at forearm level	1	EFO_0000546	FinnGEN
FINNGEN_R5_ST19_POISO_MEDICI	Poisoning by medicine	1	EFO_0008546	FinnGEN
FINNGEN_R5_ST19_POISO_NARCOT_PSYCHOD_HALLUCINOG	Poisoning by narcotics and psychodysleptics [hallucinogens]	1	EFO_0008546	FinnGEN
FINNGEN_R5_ST19_SEQUEL_INJURI_NECK_TRUNK	Sequelae of injuries of neck and trunk	1	EFO_0009476	FinnGEN
FINNGEN_R5_ST19_SUPERF_FROST	Superficial frostbite	1	EFO_0009527	FinnGEN
FINNGEN_R5_ST19_SUPERF_INJURY_ABDOMEN_LOWER_BACK_PELVIS	Superficial injury of abdomen, lower back and pelvis	4	EFO_0000546	FinnGEN
SAIGE_960	Poisoning by antibiotics	1	EFO_0008546	UK Biobank
SAIGE_960_2	Allergy/adverse effect of penicillin	1	EFO_0008546	UK Biobank
SAIGE_965	Poisoning by analgesics, antipyretics, and antirheumatics	1	EFO_0008546	UK Biobank
SAIGE_965_1	Opiates and related narcotics causing adverse effects in therapeutic use	1	EFO_0009658	UK Biobank
SAIGE_967	Adverse effects of sedatives or other central nervous system depressants and anesthetics	1	EFO_0009658	UK Biobank
SAIGE_971	Poisoning by drugs primarily affecting the autonomic nervous system	1	EFO_0008546	UK Biobank
FINNGEN_R5_E4_HYPODRUG	Drug-induced hypoglycaemia without coma	2	EFO_0009658, HP_0001943	FinnGEN
FINNGEN_R5_M13_OSTEOPOROSIS	Osteoporosis	2	EFO_0003882	FinnGEN
FINNGEN_R5_M13_PATELLAOTH	Other disorders of patella	2	EFO_0009665	FinnGEN
FINNGEN_R5_M13_PATELLARTEND	Patellar tendinitis	1	MONDO_0004857	FinnGEN
FINNGEN_R5_Q17_CLEFT_PALATE	Cleft palate	9	MONDO_0016064	FinnGEN
FINNGEN_R5_RHEU_ARTHRITIS_OTH	Other arthritis (FG)	4	EFO_0005856	FinnGEN
GCST005528	Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular) [additive model]	1	EFO_1001999, EFO_1002019, EFO_1002020	GWAS Catalog
GCST005811	Osteoarthritis (self-reported)	1	MONDO_0005178	GWAS Catalog
GCST005812	Osteoarthritis of the hip or knee (hospital diagnosed)	1	EFO_0004616, EFO_1000786	GWAS Catalog
GCST005814	Osteoarthritis (hospital diagnosed)	1	MONDO_0005178	GWAS Catalog
NEALE2_6151_6	Arm | fractured bone site(s)	1	EFO_0009514	UK Biobank
NEALE2_6151_7	Other bones | fractured bone site(s)	1	EFO_0003931	UK Biobank
SAIGE_274_11	Gouty arthropathy	1	EFO_0004274	UK Biobank
SAIGE_713_5	Arthropathy associated with neurological disorders	1	EFO_1001378	UK Biobank
SAIGE_726_1	Enthesopathy	1	EFO_0009666	UK Biobank
SAIGE_729_1	Rheumatism, unspecified and fibrositis	1	EFO_0005755	UK Biobank
SAIGE_735_21	Hammer toe (acquired)	1	EFO_1001336	UK Biobank
SAIGE_738	Other acquired musculoskeletal deformity	1	EFO_0009676, EFO_1001986	UK Biobank
SAIGE_742_9	Other derangement of joint	1	EFO_1000999	UK Biobank
SAIGE_800	Fracture of lower limb	1	EFO_0009512	UK Biobank
SAIGE_800_1	Fracture of neck of femur	1	EFO_1001792	UK Biobank
SAIGE_805	Fracture of vertebral column without mention of spinal cord injury	1	EFO_0003902	UK Biobank
SAIGE_807	Fracture of ribs	1	EFO_0009620	UK Biobank
FINNGEN_R5_FEMINGHER_BILATERAL	Inguinal or femoral hernia, bilateral	1	EFO_1001791	FinnGEN
FINNGEN_R5_M13_ARTHROSIS_POLY	Polyarhtrosis	1	MONDO_0024280	FinnGEN
FINNGEN_R5_M13_BURSITISOTH	Other bursitis, not elsewhere classified	2	MONDO_0002471	FinnGEN
FINNGEN_R5_M13_CALCIFICTEND	Calcific tendinitis of shoulder	2	MONDO_0001903	FinnGEN
FINNGEN_R5_M13_CALCTENDINITIS	Calcific tendinitis	1	MONDO_0001903	FinnGEN
FINNGEN_R5_M13_CHONDROMALACIA	Chondromalacia	1	MONDO_0002342	FinnGEN
FINNGEN_R5_M13_DEFORMACQ	Other acquired deformities of musculoskeletal system and connective tissue	1	EFO_0009676, EFO_1001986	FinnGEN
FINNGEN_R5_M13_ENTESOPATHYOTH	Other enthesopathies	1	EFO_0009666	FinnGEN
FINNGEN_R5_M13_FIBROMYALGIA	Fibromyalgia	1	EFO_0005687	FinnGEN
FINNGEN_R5_M13_FLATFOOT	Flat foot [pes planus] (acquired)	1	EFO_0003874	FinnGEN
GCST90060227	Diacylglycerol_39:2_[M+NH4]1+ levels	1	EFO_0010223	GWAS Catalog
GCST90060242	Phosphatidylcholine_30:0_[M+H]1+/Phosphatidylethanolamine_33:0_[M+H]1+/Phosphatidate_35:1_[M+NH4]1+ levels	1	EFO_0010226	GWAS Catalog
GCST90060287	Phosphatidylethanolamine-P_38:6_[M+H]1+ levels	1	EFO_0010228	GWAS Catalog
GCST90060289	Phosphatidylglycerol_34:1_[M+H]1+ levels	1	EFO_0007630	GWAS Catalog
GCST90060331	Phosphatidylcholine_35:1_[M+H]1+/Phosphatidylethanolamine_38:1_[M+H]1+/Phosphatidate_40:2_[M+NH4]1+ levels	1	EFO_0010226	GWAS Catalog
GCST90060417	Phosphatidylcholine-O_39:0_[M+H]1+/Phosphatidylethanolamine-O_42:0_[M+H]1+ levels	1	EFO_0010226	GWAS Catalog
GCST90060418	Triacylglycerol_48:3_[M+NH4]1+ levels	1	EFO_0004530	GWAS Catalog
GCST90060448	Triacylglycerol_49:2_[M+NH4]1+ levels	1	EFO_0004530	GWAS Catalog
GCST90060452	Phosphatidylglycerol-O_40:1_[M+NH4]1+ levels	1	EFO_0007630	GWAS Catalog
GCST90060491	Triacylglycerol_51:4_[M+NH4]1+ levels	1	EFO_0004530	GWAS Catalog
GCST90060543	Triacylglycerol_55:9_[M+NH4]1+ levels	1	EFO_0004530	GWAS Catalog
GCST90060544	Triacylglycerol_54:2_[M+NH4]1+ levels	1	EFO_0004530	GWAS Catalog
GCST90060546	Triacylglycerol_55:8_[M+NH4]1+ levels	1	EFO_0004530	GWAS Catalog
FINNGEN_R5_R18_SYMPTOMS_SIGNS_INVOLVI_COGNITION_PERCEP_EMOTIONAL_STATE_BEHVI	Symptoms and signs involving cognition, perception, emotional state and behaviour	2	EFO_0004364	FinnGEN
FINNGEN_R5_F5_MENTRET	Mental retardation	3	EFO_0003847	FinnGEN
FINNGEN_R5_K11_CROWDI_TEETH	Crowding of teeth	1	HP_0000678	FinnGEN
FINNGEN_R5_K11_IMPACTED_TEETH	Impacted teeth	1	HP_0011079	FinnGEN
FINNGEN_R5_KRA_PSY_DEMENTIA	Any dementia	6	HP_0000726	FinnGEN
FINNGEN_R5_Z21_PERSONS_ENCOUNTERI_HEALTH_SERVI_SPECIFIC_PROCED_HEALTH_CARE	Persons encountering health services for specific procedures and health care	2	EFO_0009786	FinnGEN
FINNGEN_R5_Z21_PERSONS_W_POTEN_HEALTH_HAZARDS_RELATED_FAMILY_PERSONAL_HISTORY_CERTA_CONDI_INFLUENCI_HEALTH_STATUS	Persons with potential health hazards related to family and personal history and certain conditions influencing health status	5	EFO_0000352, EFO_0000493	FinnGEN
FINNGEN_R5_ALCOHOLACUTE10	Acute alcohol intoxication	2	EFO_0003829	FinnGEN
FINNGEN_R5_CD2_BENIGN_MELANOCYTIC_EYELID	Melanocytic naevi of eyelid, including canthus	1	Orphanet_98588	FinnGEN
FINNGEN_R5_E4_MALNUTRITION	Malnutrition	1	EFO_0008572, EFO_1001067	FinnGEN
FINNGEN_R5_G6_ALZHEIMER	Alzheimer disease	7	EFO_0000249	FinnGEN
FINNGEN_R5_H7_VITREOUS	Disorders of vitreous body and globe	2	MONDO_0001524, MP_0006200	FinnGEN
FINNGEN_R5_K11_FISTULA	Colonic or urogenital fistula	3	HP_0100589	FinnGEN
FINNGEN_R5_Z21_PERSONS_W_POTEN_HEALTH_HAZARDS_RELATED_COMMUNICAB_DISEA	Persons with potential health hazards related to communicable diseases	1	EFO_0005741	FinnGEN
FINNGEN_R5_AB1_OTHER_BACTERIAL	Other bacterial diseases	3	EFO_0000771	FinnGEN
FINNGEN_R5_AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	1	EFO_1001288	FinnGEN
FINNGEN_R5_AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases	1	EFO_0009567	FinnGEN
FINNGEN_R5_AB1_OTHER_VIRAL	Other viral diseases	1	EFO_0000763	FinnGEN
FINNGEN_R5_J10_PNEUMONIA	All pneumoniae	2	EFO_0003106	FinnGEN
FINNGEN_R5_D3_BLOODOTHER	Other diseases of blood and blood-forming organs	1	EFO_0005803	FinnGEN
FINNGEN_R5_AUD_SWEDISH	Alcohol use disorder, Swedish definition	3	MONDO_0021699	FinnGEN
FINNGEN_R5_I9_CEREBVASC	Cerebrovascular diseases	1	EFO_0003763	FinnGEN
FINNGEN_R5_F5_EATING	Eating disorders	2	EFO_0005203	FinnGEN
FINNGEN_R5_F5_SCHIZO	Schizophrenia, schizotypal and delusional disorders	1	EFO_0000692, MONDO_0001087, MONDO_0004359	FinnGEN
FINNGEN_R5_G6_NEURODEG	Other degenerative diseases of the nervous system	5	EFO_0005772	FinnGEN
FINNGEN_R5_G6_POLYNEU	Polyneuropathies and other disorders of the peripheral nervous system	2	EFO_0000618, EFO_0009562	FinnGEN
FINNGEN_R5_KRA_PSY_AUTISM	Autism spe	2	EFO_0003758	FinnGEN
FINNGEN_R5_KRA_PSY_SCHIZODEL	Schizophrenia or delusion	1	EFO_0000692, MONDO_0004359	FinnGEN
FINNGEN_R5_KRA_PSY_SLEEP_NONORG	Nonorganic sleeping disorders	1	EFO_0008568	FinnGEN
FINNGEN_R5_N14_RENALTUB	Renal tubulo-intestitial diseases	2	EFO_0009566, MONDO_0001085	FinnGEN
FINNGEN_R5_H7_GLAUCOMA_OPER	Glucoma-related operations	2	EFO_0000516	FinnGEN
FINNGEN_R5_E4_ENDOGLAND	Disorders of other endocrine glands	1	EFO_0001379	FinnGEN
FINNGEN_R5_ALCOLIVER	Alcoholic liver disease	2	EFO_0008573	FinnGEN
FINNGEN_R5_K11_ATROPHY_SALIVARY_GLAND	Atrophy of salivary gland	1	EFO_0008581, EFO_1000096	FinnGEN
FINNGEN_R5_K11_HYPO_ONLY	Tooth agenesis EXCLUDE clefts and syndromes	1	EFO_0005410	FinnGEN
FINNGEN_R5_C3_LUNG_NONSMALL	Non-small cell lung cancer	2	EFO_0003060	FinnGEN
FINNGEN_R5_C3_NSCLC_SQUAM	Non-small cell lung cancer, squamous	1	MONDO_0056806	FinnGEN
FINNGEN_R5_C3_RECTUM	Malignant neoplasm of rectum	1	EFO_1000657	FinnGEN
FINNGEN_R5_C3_SMALL_INTESTINE	Malignant neoplasm of small intestine	1	MONDO_0000956	FinnGEN
FINNGEN_R5_C3_STOMACH	Malignant neoplasm of stomach	1	MONDO_0001056	FinnGEN
FINNGEN_R5_CD2_BENIGN_BRAIN_CNS	Benign neoplasm of brain and other parts of central nervous system	1	EFO_1000107, EFO_1000158	FinnGEN
FINNGEN_R5_CD2_BENIGN_COLON_NOS	Benign neoplasm: Colon, unspecified	1	EFO_0004288	FinnGEN
FINNGEN_R5_CD2_BENIGN_DUODENUM	Benign neoplasm: Duodenum	1	EFO_1000907	FinnGEN
FINNGEN_R5_CD2_BENIGN_EAR_NASAL_SINUS	Benign neoplasm: Middle ear, nasal cavity and accessory sinuses	1	MONDO_0021366, MONDO_0056820	FinnGEN
FINNGEN_R5_CD2_BENIGN_MENINGES	Benign neoplasm of meninges	1	EFO_0003851	FinnGEN
FINNGEN_R5_CD2_BENIGN_PITUITARY_CRANIPHAR	Benign neoplasm: Pituitary gland, craniopharyngeal duct	1	EFO_1000209	FinnGEN
FINNGEN_R5_CD2_BENIGN_RECTUM_ANAL	Benign neoplasm: Rectum, anus and anal canal	2	MONDO_0021462, MONDO_0021469	FinnGEN
FINNGEN_R5_CD2_BENIGN_SALIVARY_NOS	Benign neoplasm: other/unspecified salivary gland	1	MONDO_0021460	FinnGEN
FINNGEN_R5_CD2_BENIGN_SKIN_NOS	Benign neoplasm: Skin, unspecified	1	MONDO_0021440	FinnGEN
FINNGEN_R5_CD2_NONHODGKIN_NAS	Other and unspecified types of non-Hodgkin lymphoma	1	EFO_0005952	FinnGEN
FINNGEN_R5_CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC	Primary_lymphoid and hematopoietic malignant neoplasms	4	MONDO_0044881	FinnGEN
FINNGEN_R5_L12_BULLOUS	Bullous disorders	1	EFO_0008598	FinnGEN
FINNGEN_R5_L12_DISORDSKINAPPENDIX	Disorders of skin appendages	2	MONDO_0024481	FinnGEN
FINNGEN_R5_J10_PLEURA	Other diseases of pleura	1	MONDO_0002037	FinnGEN
FINNGEN_R5_Q17_OTHER_CONGEN_MALFO_DIGES_SYSTEM1	Other congenital malformations of the digestive system	7	MONDO_0020019	FinnGEN
FINNGEN_R5_ST19_INJURI_THORAX	Injuries to the thorax	1	EFO_0009887	FinnGEN
FINNGEN_R5_Q17_CLEFT_LIP_CLEFT_PALATE	Cleft lip and cleft palate	7	EFO_0003959, MONDO_0016064	FinnGEN
NEALE2_20002_1126	Spontaneous pneumothorax/recurrent pneumothorax | non-cancer illness code, self-reported	1	HP_0002108	UK Biobank
NEALE2_20002_1193	Renal failure requiring dialysis | non-cancer illness code, self-reported	1	HP_0000083	UK Biobank
NEALE2_20002_1294	Back problem | non-cancer illness code, self-reported	1	HP_0003418	UK Biobank
NEALE2_20002_1327	Low platelets/platelet disorder | non-cancer illness code, self-reported	1	HP_0001873	UK Biobank
NEALE2_20002_1330	Iron deficiency anaemia | non-cancer illness code, self-reported	1	HP_0001891	UK Biobank
NEALE2_20002_1400	Peptic ulcer | non-cancer illness code, self-reported	1	HP_0004398	UK Biobank
NEALE2_20002_1474	Hiatus hernia | non-cancer illness code, self-reported	1	HP_0002036	UK Biobank
NEALE2_20002_1500	Vertigo | non-cancer illness code, self-reported	1	HP_0002321	UK Biobank
NEALE2_20002_1508	Jaundice (unknown cause) | non-cancer illness code, self-reported	1	HP_0000952	UK Biobank
NEALE2_20002_1585	Mitral regurgitation / incompetence | non-cancer illness code, self-reported	1	HP_0001653	UK Biobank
NEALE2_20002_1598	Tonsiltis | non-cancer illness code, self-reported	1	HP_0011110	UK Biobank
NEALE2_20002_1599	Constipation | non-cancer illness code, self-reported	1	HP_0002019	UK Biobank
NEALE2_20002_1603	Rectal prolapse | non-cancer illness code, self-reported	1	HP_0002035	UK Biobank
