trait_key_term	to_remove
lipase inhibitor|obesity	NA
Lipid Metabolism Disorders	NA
Lipoma	NA
Lipoma of skin and subcutaneous tissue	NA
Lipoprotein A	NA
Lipoprotein Lipase	NA
Liquid used to make porridge	NA
lisinopril	NA
lithium carbonate	NA
Liver	NA
Liver abscess and sequelae of chronic liver disease	NA
Liver Cirrhosis	NA
Liver Cirrhosis, Biliary	NA
Liver Diseases	NA
Liver Diseases, Alcoholic	NA
Liver intake	Y
Localized scleroderma [morphea]	NA
Localized skin eruption due to drugs and medicaments	NA
Localized superficial swelling, mass, or lump	NA
lofepramine	NA
logMAR, final (right)	NA
Loneliness	Y
Loneliness, isolation	NA
Long labour	NA
long-acting anti-muscarinic bronchodilator|anti-muscarinic|bronchodilator|asthma	NA
long-acting insulin analog|diabetes	NA
Long-standing illness, disability or infirmity	NA
Longest period of mania or irritability	NA
Longest period spent worried or anxious	NA
Longevity	NA
Loose body in joint	NA
loperamide	NA
loratadine	NA
lorazepam	NA
losartan	NA
Low Back Pain	NA
Low calorie drink intake	Y
Low fat cheese spread intake	Y
Low fat hard cheese intake	Y
Low Tension Glaucoma	NA
Lower back pain or/and sciatica	NA
LSIL lesion of the cervix uteri	NA
LSIL lesion of the cervix uteri, vagina or vulva	NA
LSIL lesion of the vulva	NA
lumbar disc herniation	NA
Lumbar disc prolapse	NA
Lumbosacral plexus disorders	NA
lung carcinoma	NA
Lung Diseases, Interstitial	NA
Lung Neoplasms	NA
Lung transplant status	NA
Lung transplantation	NA
Lupus (localized and systemic)	NA
Lupus erythematosus	NA
Lupus Erythematosus, Systemic	NA
Lyme disease	NA
lymecycline	NA
Lymphadenitis	NA
Lymphangioleiomyomatosis (sporadic)	NA
Lymphocyte count	NA
Lymphocyte Count	NA
Lymphocyte percentage	NA
Lymphocytosis	NA
Lymphoid leukaemia (controls excluding all cancers)	NA
Lymphoid leukemia	NA
Lymphoid leukemia, chronic	NA
lymphoid neoplasm	NA
Lymphoma, Follicular	NA
Lymphoproliferative Disorders	NA
Lysophosphatidylcholine_16:0_[M+H]1+/Lysophosphatidylethanolamine_19:0_[M+H]1+ levels	NA
Lysophosphatidylcholine_16:1_[M+H]1+/Lysophosphatidylethanolamine_19:1_[M+H]1+ levels	Y
Lysophosphatidylcholine_20:4_[M+H]1+ levels	Y
Lysophosphatidylcholine-O_16:1_[M+H]1+/Lysophosphatidylcholine-P_16:0_[M+H]1+ levels	Y
lysosomal pH modulator|TLR antagonist|anti-malarial	NA
M05 Seropositive rheumatoid arthritis	NA
M06 Other rheumatoid arthritis	NA
M07 Psoriatic and enteropathic arthropathies	NA
M10 Gout	NA
M13 Other arthritis	NA
M16 Coxarthrosis [arthrosis of hip]	NA
M17 Gonarthrosis [arthrosis of knee]	NA
M20 Acquired deformities of fingers and toes	NA
M22 Disorders of patella	NA
M24 Other specific joint derangements	NA
M31 Other necrotising vasculopathies	NA
M32 Systemic lupus erythematosus	NA
M35 Other systemic involvement of connective tissue	NA
M43 Other deforming dorsopathies	NA
M51 Other intervertebral disk disorders	NA
M62 Other disorders of muscle	NA
M65 Synovitis and tenosynovitis	NA
M67 Other disorders of synovium and tendon	NA
M70 Soft tissue disorders related to use, overuse and pressure	NA
M72 Fibroblastic disorders	NA
M75 Shoulder lesions	NA
M81 Osteoporosis without pathological fracture	NA
M94 Other disorders of cartilage	NA
M96 Postprocedural musculoskeletal disorders, not elsewhere classified	NA
macrolide antibiotic|antibiotic	NA
Macular cyst	NA
Macular Degeneration	NA
Macular degeneration (senile) of retina NOS	NA
Macular degeneration (senile) of retina nos	NA
Macular hole	NA
Main speciality of consultant (recoded)	NA
Major coronary heart disease event	NA
major depressive disorder	NA
Major depressive disorder	NA
Major depressive disorder in trauma-unexposed individuals	NA
Malabsorption Syndromes	NA
Malabsorption/coeliac disease | non-cancer illness code, self-reported	NA
malaria	NA
Malignant immunoproliferative diseases (controls excluding all cancers)	NA
Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)	NA
Malignant melanoma, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of bladder	NA
Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of brain, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of breast, ER-negative, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of breast, ER-positive, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of bronchus and lung, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of cervix uteri, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of eye and adnexa, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of female breast	NA
Malignant neoplasm of head and neck, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of hypopharynx, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of lip, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of liver, primary	NA
Malignant neoplasm of oesophagus, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of oral cavity, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	NA
Malignant neoplasm of ovary and other uterine adnexa	NA
Malignant neoplasm of pancreas, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of rectum, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of rectum, rectosigmoid junction, and anus	NA
Malignant neoplasm of skin	NA
Malignant neoplasm of skin (all cancers excluded)	NA
Malignant neoplasm of skin, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of small intestine, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of stomach, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of testis	NA
Malignant neoplasm of thymus, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of thyroid gland, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of ureter, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of urinary organs, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm of uterus	NA
Malignant neoplasm, excluding all cancers (controls excluding all cancers)	NA
Malignant neoplasm, other	NA
Malocclusion	NA
Malocclusion, Angle Class III	NA
Malunion and nonunion of fracture	NA
Mandibular prognathia	NA
Mandibular prognathia AND surgery (LeFortI or BSSO or LeFortI AND BSSO), including avohilmo	NA
Mandibular retrognathia	NA
Mango intake	Y
Manic/hyper symptoms	NA
Manifestations of mania or irritability	NA
Manlignant and unknown neoplasms of brain and nervous system	NA
Mantle cell lymphoma, excluding all cancers (controls excluding all cancers)	NA
Map	Y
Marginal zone B-cell lymphoma, excluding all cancers (controls excluding all cancers)	NA
Mashed potato intake	Y
mast cell stabilizer	NA
Mastoiditis & related conditions	NA
Maternal Age	Y
Maternal care for cervical incompetence	NA
Maternal care for known or suspected abnormality of pelvic organs	NA
Maternal care for known or suspected disproportion	NA
Maternal care for known or suspected malpresentation of fetus	NA
Maternal care for other conditions predominantly related to pregnancy	Y
Maternal care for other known or suspected fetal problems	NA
Maternal smoking around birth	NA
Matrix Metalloproteinase 1	Y
Matrix Metalloproteinase 7	Y
Maxillary retrognathism	NA
Maximum carotid IMT (intima-medial thickness) at 120 degrees	NA
Maximum carotid IMT (intima-medial thickness) at 150 degrees	NA
Maximum carotid IMT (intima-medial thickness) at 210 degrees	NA
Maximum carotid IMT (intima-medial thickness) at 240 degrees	NA
Maximum digits remembered correctly	Y
Maximum frequency of taking cannabis	Y
Maximum heart rate during fitness test	NA
Maximum workload during fitness test	NA
Mean arterial pressure, automated reading	NA
Mean arterial pressure, automated reading, adjusted by medication	NA
Mean arterial pressure, combined automated + manual reading	NA
Mean arterial pressure, combined automated + manual reading, adjusted by medication	NA
Mean arterial pressure, manual reading	NA
Mean arterial pressure, manual reading, adjusted by medication	NA
Mean carotid IMT (intima-medial thickness) at 120 degrees	NA
Mean carotid IMT (intima-medial thickness) at 150 degrees	NA
Mean carotid IMT (intima-medial thickness) at 210 degrees	NA
Mean carotid IMT (intima-medial thickness) at 240 degrees	NA
Mean corpuscular haemoglobin	NA
Mean corpuscular haemoglobin concentration	NA
Mean corpuscular volume	NA
Mean platelet (thrombocyte) volume	NA
Mean Platelet Volume	NA
Mean reticulocyte volume	NA
Mean signal-to-noise ratio (SNR), (left)	NA
Mean signal-to-noise ratio (SNR), (right)	NA
Mean sphered cell volume	NA
Mean time to correctly identify matches	Y
Measles	NA
measles,NA	NA
mebeverine	NA
Medical abortion	Y
Medication for cholesterol, blood pressure or diabetes	NA
Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones	NA
Medication for pain relief, constipation, heartburn	NA
Medium-chain specific acyl-CoA dehydrogenase, mitochondrial measurement	Y
mefenamic acid	NA
Megaloblastic anemia	NA
Melanocytic naevi	NA
Melanocytic naevi of lower limb, including hip	NA
Melanocytic naevi of trunk	NA
Melanocytic naevi of upper limb, including shoulder	NA
Melanocytic naevi, other sites/unspecified	NA
Melanoma	NA
melanoma	NA
Melanoma in situ (controls excluding all cancers)	NA
Melanoma of uvea (controls excluding all cancers)	NA
Melanomas of skin, dx or hx	NA
meloxicam	NA
Memory Disorders	NA
Memory loss	NA
Memory, Short-Term	NA
Meniere Disease	NA
Meningeal Neoplasms	NA
Meniscus derangement	NA
Menopause	NA
Menorrhagia	NA
Menstruation Disturbances	NA
Mental and behavioural disorders due to cannabinoids	NA
Mental and behavioural disorders due to multiple drug use and use of multiple drugs and use of other psychoactive substances	NA
Mental and behavioural disorders due to use of other stimulants, including caffeine	NA
Mental Disorders	NA
Mental Health	NA
Mental health problems ever diagnosed by a professional	NA
Mental retardation (more control exclusions)	NA
mesalazine	NA
Mesial bite	NA
Mesothelioma, excluding all cancers (controls excluding all cancers)	NA
Metabolic Diseases	NA
Metabolic disorder, other/unspecified	NA
Metabolic disorders	NA
metformin	NA
methimazole pro-drug|thyroperoxidase inhibitor|methimazole|anti-thyroid	NA
Methods of admission to hospital (recoded)	NA
Methods of discharge from hospital (recoded)	NA
Methods of self-harm used	NA
methotrexate	NA
Methotrexate	NA
metoclopramide	NA
miconazole	NA
miconazole/hydrocortisone	NA
Microalbumin in urine	NA
Microscopic polyangiitis	NA
Migrain with aura	NA
migraine disorder	NA
Migraine Disorders	NA
Migraine with aura	NA
Migraine with aura and triptan purchases	NA
Migraine without Aura	NA
Migraine without aura, drug-induced	NA
Migraine, single triptan purchase ok & required. ICD-code if available is included	NA
Mild mental retardation	NA
Milk added to cereal	Y
Milk intake	Y
Milk-based pudding intake	Y
Mineral and other dietary supplements	Y
Minimum carotid IMT (intima-medial thickness) at 120 degrees	NA
Minimum carotid IMT (intima-medial thickness) at 150 degrees	NA
Minimum carotid IMT (intima-medial thickness) at 210 degrees	NA
Minimum carotid IMT (intima-medial thickness) at 240 degrees	NA
mirtazapine	NA
Miserableness	NA
Mixed and other personality disorders	NA
Mixed conductive and sensorineural hearing loss	NA
Mixed connective tissue disease	NA
Mixed fruit intake	Y
Mixed hyperlipidaemia	NA
Mixed vegetable intake	Y
Moderate visual impairment, binocular	NA
Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI)	NA
Molar incisor enamel hypoplasia	NA
Molar incisor enamel hypoplasia, with caries	NA
mometasone	NA
Monoarthritis, not elsewhere classified	NA
Monocyte chemoattractant protein-4 levels	NA
Monocyte count	NA
Monocyte differentiation antigen CD14, soluble measurement	Y
Monocyte percentage	NA
montelukast	NA
Month of birth	NA
Mood Disorders	NA
Mood disorders	NA
Mood swings	NA
Morning/evening person (chronotype)	Y
Mother still alive	NA
Mother's age	Y
Mother's age at death	NA
Motor Activity	NA
Motor disorders (more control exclusions)	NA
Motor Neuron Disease	NA
Mouth/teeth dental problems	NA
Mozzarella intake	Y
MS-disease / Multiple Sclerosis	NA
Mucosal proctocolitis	NA
Mucous polyp of cervix	NA
muculytic	NA
Muesli intake	Y
Multi-site chronic pain	NA
Multiple gestation	NA
Multiple myeloma	NA
Multiple myeloma and malignant plasma cell neoplasms (controls excluding all cancers)	NA
Multiple myeloma, excluding all cancers (controls excluding all cancers)	NA
Multiple myeloma, Monoclonal gammopathy of undetermined significance (MGUS)	NA
Multiple myeloma, Monoclonal gammopathy of undetermined significance (MGUS), excluding all cancers (controls excluding all cancers)	NA
Multiple Sclerosis	NA
Multiple sclerosis	NA
multiple sclerosis	NA
Muscle strain	NA
Muscular Atrophy, Spinal	NA
muscular disease	NA
Muscular Diseases	NA
Muscular dystrophies	NA
Muscular dystrophies and other myopathies	NA
Muscular wasting and disuse atrophy	NA
Mushroom intake	Y
Mycoses	NA
Myeloid leukaemia (controls excluding all cancers)	NA
Myeloid leukemia	NA
Myeloid leukemia, acute	NA
Myeloproliferative disease	NA
Myeloproliferative diseases (CML excluded)	NA
Myocardial infarction	NA
Myocardial Infarction	NA
myocardial infarction	NA
Myocardial infarction (no controls excluded)	NA
Myocardial infarction, strict	NA
Myocardial Ischemia	NA
Myoclonus	NA
Myoglobin	NA
Myopathy	NA
Myopia	NA
Myositis	NA
Myotonic Disorders	NA
myxedema,NA	NA
N-terminal prohormone brain natriuretic peptide levels	Y
N04 Nephrotic syndrome	NA
N05 Unspecified nephritic syndrome	NA
N08 Glomerular disorders in diseases classified elsewhere	NA
N13 Obstructive and reflux uropathy	NA
N17 Acute renal failure	NA
N18 Chronic renal failure	NA
N20 Calculus of kidney and ureter	NA
N21 Calculus of lower urinary tract	NA
N25 Disorders resulting from impaired renal tubular function	NA
N28 Other disorders of kidney and ureter, not elsewhere classified	NA
N32 Other disorders of bladder	NA
N36 Other disorders of urethra	NA
N41 Inflammatory diseases of prostate	NA
N42 Other disorders of prostate	NA
N43 Hydrocele and spermatocele	NA
N48 Other disorders of penis	NA
N49 Inflammatory disorders of male genital organs, not elsewhere classified	NA
N60 Benign mammary dysplasia	NA
N64 Other disorders of breast	NA
N71 Inflammatory disease of uterus, except cervix	NA
N73 Other female pelvic inflammatory diseases	NA
N75 Diseases of Bartholin's gland	NA
N80 Endometriosis	NA
N81 Female genital prolapse	NA
N82 Fistulae involving female genital tract	NA
N84 Polyp of female genital tract	NA
N85 Other noninflammatory disorders of uterus, except cervix	NA
N88 Other noninflammatory disorders of cervix uteri	NA
N89 Other noninflammatory disorders of vagina	NA
N90 Other noninflammatory disorders of vulva and perineum	NA
N92 Excessive, frequent and irregular menstruation	NA
NA,celiac disease	NA
nabumetone	NA
NADPH--cytochrome P450 reductase measurement	Y
Nail disorders	NA
Nap during day	Y
naproxen	NA
Narcolepsy	NA
Narcolepsy and cataplexy	NA
Nasal cavity polyp	NA
Nasal polyp	NA
Nasal Polyps	NA
Nasal polyps	NA
neck pain,shoulder pain	NA
Neck/shoulder pain for 3+ months	NA
Necrobiosis lipoidica, not elsewhere classified	NA
nefopam	NA
Neoplasm of uncertain behavior	NA
Neoplasms	NA
Neovascular glaucoma	NA
Neovascularization, Pathologic	NA
Nephritis and nephropathy in diseases classified elsewhere	NA
Nephritis and nephropathy with pathological lesion	NA
Nephritis and nephropathy without mention of glomerulonephritis	NA
nephrolithiasis	NA
Nephrotic Syndrome	NA
Nephrotic syndrome without mention of glomerulonephritis	NA
Nerve, nerve root and plexus disorders	NA
Nervous feelings	NA
nervous system disease	NA
Nervous System Diseases	NA
Neuralgia and neuritis, unspecified	NA
Neurodegenerative Diseases	NA
Neuroendocrine tumor and carcinoma of pancreas, excluding all cancers (controls excluding all cancers)	NA
Neuroendocrine tumor and carcinoma of small intestine, excluding all cancers (controls excluding all cancers)	NA
Neuroendocrine tumor and carcinoma of stomach, excluding all cancers (controls excluding all cancers)	NA
Neurofibromatosis	NA
Neurological diseases	NA
Neurological disorders	NA
Neurological, eye or psychiatric disease	NA
Neuromuscular Manifestations	NA
Neuromyelitis Optica	NA
Neurotic Disorders	NA
Neuroticism	NA
Neuroticism score	NA
Neutropenia	NA
Neutrophill count	NA
Neutrophill percentage	NA
Neutrophils	NA
Never eat eggs, dairy, wheat, sugar	Y
Never smoked | tobacco smoking	NA
Never/rarely have milk | milk type used	Y
Nezelof syndrome	NA
nicorandil	NA
nicotinic acetylcholine receptor agonist|smoking cessation	NA
nifedipine	NA
Night shifts worked	NA
nitrate |anti-anginal agent|anti-hypertensive	NA
nitrazepam	NA
Nitrogen dioxide air pollution; 2005	Y
Nitrogen dioxide air pollution; 2006	Y
Nitrogen dioxide air pollution; 2007	Y
Nitrogen dioxide air pollution; 2010	Y
Nitrogen oxides air pollution; 2010	Y
No | major dietary changes in the last 5 years	Y
Nodular lymphoma	NA
Noisy workplace	Y
Non-accidental death in close genetic family	Y
Non-albumin protein	NA
Non-alcoholic Fatty Liver Disease	NA
Non-butter spread type details	Y
Non-cancer illness code, self-reported	NA
Non-cancer illness year/age first occurred	NA
Non-follicular lymphoma (controls excluding all cancers)	NA
Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)	NA
Non-Hodgkins lymphoma	NA
non-Hodgkins lymphoma	NA
Non-ischemic cardiomyopathy	NA
Non-oily fish intake	Y
non-opioid analgesic	NA
Non-proliferative glomerulonephritis	NA
non-selective beta-blocker|beta blocker	NA
Non-seminoma of testis, excluding all cancers (controls excluding all cancers)	NA
Non-small cell lung cancer, adenocarcinoma, excluding all cancers (controls excluding all cancers)	NA
Non-small cell lung cancer, squamous, excluding all cancers (controls excluding all cancers)	NA
non-steroidal anti-inflammatory drug|NSAID	NA
Nonalcoholic steatohepatitis	NA
Nondiabetic hypoglycaemic coma	NA
None of the above (group 1) | illnesses of father	Y
None of the above (group 1) | illnesses of mother	Y
None of the above | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor	Y
None of the above | medication for cholesterol, blood pressure or diabetes	Y
None of the above | medication for cholesterol, blood pressure, diabetes, or take exogenous hormones	Y
None of the above | medication for pain relief, constipation, heartburn	Y
None of the above | pain type(s) experienced in last month	Y
None of the above | qualifications	Y
None of the above | vascular/heart problems diagnosed by doctor	Y
Noninfectious gastroenteritis	NA
Noninfective enteritis and colitis	NA
Noninflammatory disorders of cervix	NA
Noninflammatory disorders of vagina	NA
Noninflammatory female genital disorders	NA
Noninvasive Ventilation	NA
Nonrheumatic aortic valve disorders	NA
Nonspecific abnormal findings in stool contents	NA
Nonspecific abnormal findings on radiological and other examination of biliary tract	NA
Nonspecific chest pain	NA
Nonspecific findings on examination of blood	NA
Nonspecific lymphadenitis	NA
Nonsuppurative otitis media	NA
Nontoxic diffuse goitre	NA
Nontoxic goitre/thyroid nodule	NA
Nontoxic multinodular goiter	NA
Nontoxic nodular goiter	NA
Nontraumatic intracranial haemmorrhage	NA
noradrenergic and specific serotonergic antidepressant|antidepressant|appetite stimulant	NA
norethindrone	NA
norethisterone	NA
nortriptyline	NA
nose injury	NA
NSAID|non-steroidal anti-inflammatory drug	NA
Number in household	Y
Number of attempts	Y
Number of baguettes with butter/margarine	Y
Number of bread rolls with butter/margarine	Y
Number of bread slices with butter/margarine	Y
Number of children fathered	Y
Number of cigarettes currently smoked daily (current cigarette smokers)	NA
Number of cigarettes previously smoked daily	NA
Number of cigarettes smoked daily, combined previous and current smoking	NA
Number of correct matches in round	NA
Number of crackers/crispbreads with butter/margarine	NA
Number of days/week of moderate physical activity 10+ minutes	Y
Number of days/week of vigorous physical activity 10+ minutes	NA
Number of days/week walked 10+ minutes	Y
Number of diet questionnaires completed	Y
Number of fluid intelligence questions attempted within time limit	NA
Number of full brothers	Y
Number of full sisters	Y
Number of incorrect matches in round	Y
Number of older siblings	Y
Number of operations, self-reported	NA
Number of other bread types with butter/margarine	Y
Number of pregnancy terminations	NA
Number of self-reported cancers	NA
Number of self-reported non-cancer illnesses	NA
Number of stillbirths	NA
Number of things worried about during worst period of anxiety	NA
Number of times snap-button pressed	NA
Number of treatments/medications taken	NA
Number of triplets attempted (right)	NA
Number of unsuccessful stop-smoking attempts	NA
Number of vehicles in household	Y
Nummular dermatitis	NA
Nutritional and Metabolic Diseases	NA
Nystagmus and other irregular eye movements	NA
O-phosphoseryl-tRNA(Sec) selenium transferase measurement	Y
O02 Other abnormal products of conception	NA
O04 Medical abortion	NA
O26 Maternal care for other conditions predominantly related to pregnancy	NA
O32 Maternal care for known or suspected malpresentation of foetus	NA
O36 Maternal care for other known or suspected foetal problems	NA
O46 Antepartum haemorrhage, not elsewhere classified	NA
O62 Abnormalities of forces of labour	NA
O70 Perineal laceration during delivery	NA
O75 Other complications of labour and delivery, not elsewhere classified	NA
O99 Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium	NA
Oat crunch intake	Y
Oatcakes intake	Y
Obesity	NA
Obesity Hypoventilation Syndrome	NA
Obesity related asthma	NA
Obesity, Abdominal	NA
Obesity, other/unspecified	NA
Obstructed labour due to maternal pelvic abnormality	NA
Obstructive chronic bronchitis	NA
Occlusion and stenosis of precerebral arteries	NA
Occlusion of cerebral arteries	NA
Occlusion of cerebral arteries, with cerebral infarction	NA
OCT measured (left)	NA
OCT measured (right)	NA
Oestradiol	NA
Offspring birth weight	NA
Ohter specific/unspecified arthritis	NA
oilatum	Y
Oily fish intake	Y
Oligomenorrhea	NA
Olives intake	Y
olmesartan	NA
omega-3 acid ethyl esters	NA
omega-3 fatty acid supplement|Food Supplement	NA
Omelette intake	Y
omeprazole	NA
Onion intake	Y
Open bite	NA
Open bite that required surgery (Lefort1 or BSSRO)	NA
Open wound of foot except toe(s) alone	NA
Open wound or laceration of eye or eyelid	NA
Open wounds of extremities	Y
Open-angle glaucoma	NA
Operation code	NA
Operation year/age first occurred	NA
Operative procedures - main OPCS4	NA
opioid analgesic	NA
opioid analgesic|antipyretic	NA
opioid analgesic|selective serotonin re-uptake inhibitor|norepinephrine re-uptake inhibitor	NA
opioid|anti-diarrheal agent	NA
Optic Neuritis	NA
Oral leukoplakia and related diseases, including avohilmo	NA
Oral leukoplakia, including avohilmo	NA
Oral lichen ruber planus	NA
Oral Ulcer	NA
Orange intake	Y
Orchitis and epididymitis	NA
orlistat	NA
Orthostatic hypotension	NA
osmotic laxative	NA
osmotic laxative|laxative	NA
Osteitis deformans [Paget's disease of bone]	NA
Osteoarthritis	NA
osteoarthritis	NA
Osteoarthritis of the hip or knee	NA
Osteoarthritis of the hip or knee (hospital diagnosed)	NA
Osteoarthritis, Hip	NA
Osteoarthritis, Knee	NA
Osteoarthritis; localized	NA
Osteoarthrosis	NA
Osteoarthrosis NOS	NA
Osteoarthrosis, generalized	NA
Osteoarthrosis, localized, primary	NA
Osteomyelitis	NA
Osteomyelitis, periostitis, and other infections involving bone	NA
Osteonecrosis due to drugs	NA
Osteopathies and chondropathies	NA
osteopenia	NA
Osteoporosis	NA
osteoporosis	NA
Osteoporosis NOS	NA
Osteoporosis with pathological fracture (FG)	NA
Osteoporosis, osteopenia and pathological fracture	NA
Other (e.g. cornflakes, frosties) | cereal type	Y
Other (seronegative) rheumatoid arthritis, wide	NA
Other abnormal blood chemistry	NA
Other abnormal glucose	NA
Other abnormal products of conception	NA
Other abnormal uterine and vaginal bleeding	NA
Other acquired musculoskeletal deformity	NA
Other acute and subacute forms of ischemic heart disease	NA
Other acute disseminated demyelination	NA
Other acute lower respiratory infections	NA
Other acute skin changes due to ultraviolet radiation	NA
Other alveolar and parietoalveolar pneumonopathy	NA
Other and unspecified abdominal hernia	NA
Other and unspecified anaemias	NA
Other and unspecified coagulation defects	NA
Other and unspecified corneal deformities and disorders	NA
Other and unspecified degenerative diseases of nervous system	NA
Other and unspecified disc disorder	NA
Other and unspecified disease of Bartholin gland	NA
Other and unspecified disorders of psychological development	NA
Other and unspecified disorders of the nervous system	NA
Other and unspecified disorders of vitreous body	NA
Other and unspecified epidermal thickening	NA
Other and unspecified glaucoma	NA
Other and unspecified haemorrhagic conditions	NA
Other and unspecified heterotropia	NA
Other and unspecified iridocyclitis	NA
Other and unspecified localized connective tissue disorders	NA
Other and unspecified mononeuropathies, also in other diseases	NA
Other and unspecified myopathies	NA
Other and unspecified nerve root and plexus disorders, also in other diseases	NA
Other and unspecified noninflammatory disorders of ovary, fallopian tube and broad ligament	NA
Other and unspecified papulosquamous disorders	NA
Other and unspecified pemphigoid	NA
Other and unspecified polyneuropathies, also in other diseases	NA
Other and unspecified rosacea	NA
Other and unspecified skin changes due to chronic exposure to nonionizing radiation	NA
Other and unspecified tonsillitis	NA
Other and unspecified trigeminal disorders	NA
Other and unspecified types of non-Hodgkin lymphoma, hilmo (controls excluding all cancers)	NA
Other and/or unspecified nontoxic goitre	NA
Other anemias	NA
Other aneurysm	NA
Other anxiety disorders	NA
Other arterial embolism and thrombosis	NA
Other arthritis (FG)	NA
Other arthropathies	NA
Other articular cartilage disorders	NA
Other assisted single delivery	NA
Other bacterial intestinal infections	NA
Other benign neoplasm of connective and other soft tissue	NA
Other benign neoplasm of uterus: Corpus uteri	NA
Other benign neoplasms of skin	NA
Other benign neoplasms of uterus	NA
Other biliary tract disease	NA
Other bullous disorders	NA
Other bursal cyst	NA
Other bursitis, not elsewhere classified	NA
Other cataract	NA
Other cerebral degenerations	NA
Other chondrocalcinosis	NA
Other chromosome abnormalities, not elsewhere classified	NA
Other chronic ischemic heart disease, unspecified	NA
Other chronic nonalcoholic liver disease	NA
Other coffee type	NA
Other complications of labour and delivery, not elsewhere classified	NA
Other complications of pregnancy NEC	NA
Other congenital anomalies of lower limb, including pelvic girdle	NA
Other congenital malformations	NA
Other congenital malformations of circulatory system	NA
Other congenital malformations of ear	NA
Other congenital malformations of heart	NA
Other congenital malformations of nervous system	NA
Other congenital malformations of skin	NA
Other congenital malformations of the digestive system	NA
Other congenital malformations of tongue, mouth and pharynx	NA
Other congenital malformations of upper alimentary tract	NA
Other corneal oedema	NA
Other deficiency anemia	NA
Other deformities of toe(s)	NA
Other degenerative diseases of the nervous system	NA
Other demyelinating diseases of central nervous system	NA
Other demyelinating diseases of the central nervous system	NA
Other dessert intake	Y
Other diabetic retinopathy	NA
Other diseases of arteries and capillaries	NA
Other diseases of biliary tract	NA
Other diseases of blood and blood-forming organs	NA
Other diseases of blood and blood-forming organs, wide	NA
Other diseases of gallbladder	NA
Other diseases of intestines	NA
Other diseases of jaws	NA
Other diseases of lip and oral mucosa	NA
Other diseases of pancreas	NA
Other diseases of peritoneum	NA
Other diseases of pleura	NA
Other diseases of respiratory system, NEC	NA
Other diseases of respiratory system, not elsewhere classified	NA
Other diseases of stomach and duodenum	NA
Other diseases of the digestive system	NA
Other diseases of the respiratory system	NA
Other diseases of upper respiratory tract	NA
Other diseases of urinary system	NA
Other disorders of amniotic fluid and membranes	NA
Other disorders of arteries and arterioles	NA
Other disorders of biliary tract	NA
Other disorders of bladder	NA
Other disorders of bone	NA
Other disorders of breast	NA
Other disorders of carbohydrate metabolism	NA
Other disorders of choroid	NA
Other disorders of circulatory system	NA
Other disorders of cornea	NA
Other disorders of ear	NA
Other disorders of Eustachian tube	NA
Other disorders of eyelids	NA
Other disorders of fluid, electrolyte and acid-base balance	NA
Other disorders of gallbladder	NA
Other disorders of glucose regulation and pancreatic internal secretion	NA
Other disorders of intestine	NA
Other disorders of iris and ciliary body	NA
Other disorders of kidney and ureter	NA
Other disorders of liver	NA
Other disorders of metabolism	NA
Other disorders of neurohypophysis	NA
Other disorders of optic [2nd] nerve and visual pathways	NA
Other disorders of pancreatic internal secretion	NA
Other disorders of patella	NA
Other disorders of peripheral nervous system	NA
Other disorders of peritoneum	NA
Other disorders of prostate	NA
